subject,sender_email,body_text,label,combined_text,sender_domain,urgent_word_count,account_suspension_count,password_reset_count,prize_word_count,payment_word_count,credential_request_count,suspicious_keyword_count,suspicious_sender_domain,display_name_domain_mismatch,reply_to_mismatch,impersonation_sender_name,auth_issue_count,link_count,too_many_links,uppercase_ratio,number_ratio,special_character_ratio,short_cta_flag,indicator_tokens,model_text
Urgent: Verify your account now,security@paypaI-alert.com,"Dear customer, your account will be suspended today unless you verify your password immediately. Click the secure form and confirm your login details to avoid permanent closure.",1,urgent: verify your account now emailtoken dear customer your account will be suspended today unless you verify your password immediately. click the secure form and confirm your login details to avoid permanent closure.,paypai-alert.com,3,1,0,0,0,1,5,1,0,0,0,0,0,0,0.022988505747126436,0.0,0.01904761904761905,0,urgent_3 suspension_1 pwdreset_0 prize_0 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,urgent: verify your account now emailtoken dear customer your account will be suspended today unless you verify your password immediately. click the secure form and confirm your login details to avoid permanent closure. urgent_3 suspension_1 pwdreset_0 prize_0 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Invoice attached for review,billing@vendor-example.com,"Hello team, please review the attached invoice for March services and let me know if any line item looks incorrect.",0,invoice attached for review emailtoken hello team please review the attached invoice for march services and let me know if any line item looks incorrect.,vendor-example.com,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.025423728813559324,0.0,0.013888888888888888,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_1 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,invoice attached for review emailtoken hello team please review the attached invoice for march services and let me know if any line item looks incorrect. urgent_0 suspension_0 pwdreset_0 prize_0 payment_1 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Congratulations! You won a gift card,promo@reward-center-now.com,You have been selected as the lucky winner of a $500 gift card. Claim your prize now by entering your banking details and password.,1,congratulations! you won a gift card emailtoken you have been selected as the lucky winner of a numtoken gift card. claim your prize now by entering your banking details and password.,reward-center-now.com,0,0,0,3,0,1,4,1,0,0,0,0,0,0,0.030303030303030304,0.01775147928994083,0.023668639053254437,0,urgent_0 suspension_0 pwdreset_0 prize_3 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,congratulations! you won a gift card emailtoken you have been selected as the lucky winner of a numtoken gift card. claim your prize now by entering your banking details and password. urgent_0 suspension_0 pwdreset_0 prize_3 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Meeting moved to 3 PM,manager@company.com,The client asked to move today's meeting to 3 PM. Please join the same calendar link.,0,meeting moved to numtoken pm emailtoken the client asked to move today s meeting to numtoken pm. please join the same calendar link.,company.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08536585365853659,0.018518518518518517,0.027777777777777776,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,meeting moved to numtoken pm emailtoken the client asked to move today s meeting to numtoken pm. please join the same calendar link. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Password reset request,support@micr0soft-verify.net,We detected unusual activity. Reset your password right now or your mailbox access will be disabled in 30 minutes.,1,password reset request emailtoken we detected unusual activity. reset your password right now or your mailbox access will be disabled in numtoken minutes.,micr0soft-verify.net,1,0,1,0,0,1,3,1,0,0,0,0,0,0,0.026785714285714284,0.014492753623188406,0.014492753623188406,0,urgent_1 suspension_0 pwdreset_1 prize_0 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,password reset request emailtoken we detected unusual activity. reset your password right now or your mailbox access will be disabled in numtoken minutes. urgent_1 suspension_0 pwdreset_1 prize_0 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Project update and notes,teammate@company.com,I pushed the latest dashboard fixes. Please review the comments before tomorrow's demo.,0,project update and notes emailtoken i pushed the latest dashboard fixes. please review the comments before tomorrow s demo.,company.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03225806451612903,0.0,0.02654867256637168,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,project update and notes emailtoken i pushed the latest dashboard fixes. please review the comments before tomorrow s demo. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Tax refund pending,refunds@irs-gov-alerts.net,Your tax refund is pending. Submit your social security number and bank login to receive the amount without delay.,1,tax refund pending emailtoken your tax refund is pending. submit your social security number and bank login to receive the amount without delay.,irs-gov-alerts.net,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0.02727272727272727,0.0,0.014925373134328358,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_1 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,tax refund pending emailtoken your tax refund is pending. submit your social security number and bank login to receive the amount without delay. urgent_0 suspension_0 pwdreset_0 prize_0 payment_1 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Your order has shipped,store@shop.com,"Good news, your package has shipped and should arrive by Friday. Tracking details are included in the receipt.",0,your order has shipped emailtoken good news your package has shipped and should arrive by friday. tracking details are included in the receipt.,shop.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03669724770642202,0.0,0.022388059701492536,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,your order has shipped emailtoken good news your package has shipped and should arrive by friday. tracking details are included in the receipt. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Account suspended notice,admin@apple-security-check.org,Your Apple ID has been locked for suspicious billing activity. Confirm your credentials immediately to reactivate the account.,1,account suspended notice emailtoken your apple id has been locked for suspicious billing activity. confirm your credentials immediately to reactivate the account.,apple-security-check.org,2,2,0,0,0,1,5,1,0,0,0,0,0,0,0.046511627906976744,0.0,0.013157894736842105,0,urgent_2 suspension_2 pwdreset_0 prize_0 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,account suspended notice emailtoken your apple id has been locked for suspicious billing activity. confirm your credentials immediately to reactivate the account. urgent_2 suspension_2 pwdreset_0 prize_0 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Lunch tomorrow?,friend@example.com,Are you free for lunch tomorrow near the campus cafe? I can be there around 1 PM.,0,lunch tomorrow? emailtoken are you free for lunch tomorrow near the campus cafe? i can be there around numtoken pm.,example.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0.01020408163265306,0.030612244897959183,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,lunch tomorrow? emailtoken are you free for lunch tomorrow near the campus cafe? i can be there around numtoken pm. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Final warning about mailbox quota,storage@goog1e-helpdesk.com,Your mailbox exceeded the storage limit. Update your credentials to keep receiving email and prevent account suspension.,1,final warning about mailbox quota emailtoken your mailbox exceeded the storage limit. update your credentials to keep receiving email and prevent account suspension.,goog1e-helpdesk.com,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0.022900763358778626,0.0,0.012903225806451613,0,urgent_1 suspension_0 pwdreset_0 prize_0 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,final warning about mailbox quota emailtoken your mailbox exceeded the storage limit. update your credentials to keep receiving email and prevent account suspension. urgent_1 suspension_0 pwdreset_0 prize_0 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Weekly sprint summary,scrum.master@startup.io,"Here is the sprint summary with completed tickets, blockers, and the plan for next week.",0,weekly sprint summary emailtoken here is the sprint summary with completed tickets blockers and the plan for next week.,startup.io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222222222223,0.0,0.02702702702702703,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,weekly sprint summary emailtoken here is the sprint summary with completed tickets blockers and the plan for next week. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Security alert: unusual sign in,alerts@banking-secure-login.co,We blocked a suspicious sign in attempt. Confirm your account PIN and password immediately to secure your profile.,1,security alert: unusual sign in emailtoken we blocked a suspicious sign in attempt. confirm your account pin and password immediately to secure your profile.,banking-secure-login.co,1,3,0,0,0,2,6,1,0,0,0,0,0,0,0.049586776859504134,0.0,0.02040816326530612,0,urgent_1 suspension_3 pwdreset_0 prize_0 payment_0 credential_2 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,security alert: unusual sign in emailtoken we blocked a suspicious sign in attempt. confirm your account pin and password immediately to secure your profile. urgent_1 suspension_3 pwdreset_0 prize_0 payment_0 credential_2 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Flight itinerary confirmation,notifications@airline.com,"Your booking is confirmed. Please find the itinerary, baggage allowance, and check-in details below.",0,flight itinerary confirmation emailtoken your booking is confirmed. please find the itinerary baggage allowance and check-in details below.,airline.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027522935779816515,0.0,0.03816793893129771,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,flight itinerary confirmation emailtoken your booking is confirmed. please find the itinerary baggage allowance and check-in details below. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Direct deposit issue,payroll@compaany-support.com,Your salary transfer failed. Verify your employee portal password and bank details today to avoid payroll delay.,1,direct deposit issue emailtoken your salary transfer failed. verify your employee portal password and bank details today to avoid payroll delay.,compaany-support.com,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.026785714285714284,0.0,0.014925373134328358,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_1 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,direct deposit issue emailtoken your salary transfer failed. verify your employee portal password and bank details today to avoid payroll delay. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_1 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Workshop registration confirmed,events@university.edu,Thank you for registering for the data science workshop. Check-in begins at 9 AM in Hall B.,0,workshop registration confirmed emailtoken thank you for registering for the data science workshop. check-in begins at numtoken am in hall b.,university.edu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.008064516129032258,0.024193548387096774,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,workshop registration confirmed emailtoken thank you for registering for the data science workshop. check-in begins at numtoken am in hall b. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Winner notification,claims@lottery-fastcash.net,This is your final notice. You won the international lottery. Send your date of birth and account credentials to release your funds.,1,winner notification emailtoken this is your final notice. you won the international lottery. send your date of birth and account credentials to release your funds.,lottery-fastcash.net,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0.031746031746031744,0.0,0.0196078431372549,0,urgent_0 suspension_0 pwdreset_0 prize_2 payment_0 credential_1 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,winner notification emailtoken this is your final notice. you won the international lottery. send your date of birth and account credentials to release your funds. urgent_0 suspension_0 pwdreset_0 prize_2 payment_0 credential_1 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Family photos,sibling@gmail.com,I uploaded the family photos from the weekend trip. Let me know which ones you want printed.,0,family photos emailtoken i uploaded the family photos from the weekend trip. let me know which ones you want printed.,gmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03488372093023256,0.0,0.018691588785046728,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,family photos emailtoken i uploaded the family photos from the weekend trip. let me know which ones you want printed. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Action required: secure your wallet,crypto@coinbase-validate.org,Your wallet access will be restricted. Verify recovery phrase and account password within one hour.,1,action required: secure your wallet emailtoken your wallet access will be restricted. verify recovery phrase and account password within one hour.,coinbase-validate.org,2,0,0,0,1,2,5,0,0,0,0,0,0,0,0.02654867256637168,0.0,0.022058823529411766,0,urgent_2 suspension_0 pwdreset_0 prize_0 payment_1 credential_2 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,action required: secure your wallet emailtoken your wallet access will be restricted. verify recovery phrase and account password within one hour. urgent_2 suspension_0 pwdreset_0 prize_0 payment_1 credential_2 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Research paper feedback,professor@college.edu,I reviewed your draft and added comments on the methodology section. The literature review is improving.,0,research paper feedback emailtoken i reviewed your draft and added comments on the methodology section. the literature review is improving.,college.edu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777777777777776,0.0,0.015503875968992248,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,research paper feedback emailtoken i reviewed your draft and added comments on the methodology section. the literature review is improving. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Document shared with you,drive-notify@googledrive.com,A document has been shared with you. Open it from Drive when you have time to review the outline.,0,document shared with you emailtoken a document has been shared with you. open it from drive when you have time to review the outline.,googledrive.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04081632653061224,0.0,0.016260162601626018,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,document shared with you emailtoken a document has been shared with you. open it from drive when you have time to review the outline. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Confirm payment now,payments@netfIix-update.com,Your subscription payment failed. Confirm card information and login credentials now to prevent service interruption.,1,confirm payment now emailtoken your subscription payment failed. confirm card information and login credentials now to prevent service interruption.,netfiix-update.com,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0.025423728813559324,0.0,0.014492753623188406,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_1 credential_1 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,confirm payment now emailtoken your subscription payment failed. confirm card information and login credentials now to prevent service interruption. urgent_0 suspension_0 pwdreset_0 prize_0 payment_1 credential_1 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
New company policy,hr@company.com,Please read the updated remote work policy and acknowledge it by Friday through the HR portal.,0,new company policy emailtoken please read the updated remote work policy and acknowledge it by friday through the hr portal.,company.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05319148936170213,0.0,0.008771929824561403,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,new company policy emailtoken please read the updated remote work policy and acknowledge it by friday through the hr portal. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Urgent legal complaint,notice@court-action-services.com,A complaint has been filed against you. Download the attached form and submit your personal credentials to avoid arrest.,1,urgent legal complaint emailtoken a complaint has been filed against you. download the attached form and submit your personal credentials to avoid arrest.,court-action-services.com,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0.025,0.0,0.013888888888888888,0,urgent_1 suspension_0 pwdreset_0 prize_0 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,urgent legal complaint emailtoken a complaint has been filed against you. download the attached form and submit your personal credentials to avoid arrest. urgent_1 suspension_0 pwdreset_0 prize_0 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
